geophysical_review_rank,review_tier,candidate_id,name,lon,lat,diameter_km,followup_score,rank,data_quality,domain,tid_artifact_risk,tid_direct_fraction,gravity_bouguer_ring_score,gravity_freeair_ring_score,gravity_consensus_percentile,magnetic_ring_score,magnetic_ring_score_stratified_percentile,sediment_ring_score,geology_independence,geology_boundary_coincidence,geology_boundary_crossings,geology_nearby_types
58,C_morphology,arc_0281,#280,163.7589042640333,3.8051307203365288,1387.1430356918072,0.7675144339203854,46.0,1.0,ocean,0.3373566077319651,0.1820262911449481,0.322225521166015,0.3991970672018602,0.47916666666666663,0.3916090303913555,0.75,0.413503800509224,1.0,0.0,0.0,
59,C_morphology,arc_0480,#464,117.9900171624868,-6.380680044698098,297.736085911659,0.767270930299639,47.0,1.0,ocean,0.4665345498679084,0.135666165517083,0.3796642655963457,0.656714470660192,0.8294117647058823,0.3726859868975785,0.6705882352941176,0.3222120507886549,0.9131534398649472,0.0868465601350527,2.0,continental back-arc basin;volcanic arc
60,C_morphology,arc_0981,#980,116.62714744798696,36.130866054834776,37.06679185116418,0.7663945587179721,48.0,1.0,land,0.0,0.0,0.2440162944156577,0.1364920327667851,0.4606299212598425,0.1354260308509208,0.3700787401574803,,1.0,0.0,0.0,
61,C_morphology,arc_0472,#465,45.21196245121243,-24.12669146429301,316.65376171475765,0.766382191002769,49.0,1.0,mixed,0.2566170011996004,0.0395619688209274,0.4325613379229963,0.3860544438667421,0.6111111111111112,0.7351252019961034,1.0,0.1005215430347593,0.9607435082999796,0.0392564917000203,2.0,oceanic crust;orogenic belt;shield
62,C_morphology,arc_0767,#761,134.30236869459742,20.03907203931471,1137.207230480128,0.7647044104130603,53.0,1.0,ocean,0.3197137251896159,0.815031653101052,0.3456567232418918,0.544387039653601,0.6666666666666667,0.2892183246374978,0.5416666666666666,0.4753446978259931,0.8336077683897657,0.1663922316102342,8.0,oceanic back-arc basin;oceanic crust;volcanic arc
63,C_morphology,arc_0440,#434,168.95212513548734,24.618946025290803,268.87741763748915,0.7639848801862854,56.0,1.0,ocean,0.167452522895286,0.1673149245273298,0.3680836040830496,0.490993118401707,0.7462686567164178,0.2974685570370686,0.4626865671641791,0.31472439224749,1.0,0.0,0.0,
64,C_morphology,arc_0215,#216,27.071938675336696,-32.20557521444114,35.829123392950386,0.7628793782448161,57.0,1.0,land,0.0,0.0,0.1941830078441515,0.1539035643420919,0.4645669291338583,0.0666680688613248,0.047244094488188976,,1.0,0.0,0.0,
65,C_morphology,arc_0650,#633,-31.32079850459858,-58.11749498330858,755.0001768305028,0.762146765404262,58.0,1.0,ocean,0.3678238435298786,0.5133835956079542,0.6022001401182618,0.7059440125979609,0.9935897435897436,0.5698664958798942,0.9871794871794872,0.4814583054067811,0.861028079127028,0.138971920872972,13.0,accretionary complex;oceanic back-arc basin;oceanic crust;volcanic arc
66,C_morphology,arc_0790,#784,122.61305329698271,5.63661743062077,126.49920630182032,0.7621309906914839,59.0,1.0,ocean,0.2744432504728712,0.7768342391304348,0.3167351934307386,0.5418978924963377,0.6122448979591837,0.2394467038191147,0.12244897959183673,0.1338567170761687,1.0,0.0,0.0,oceanic back-arc basin;volcanic arc
67,C_morphology,arc_0027,#023,14.191817624011652,-21.410229377075577,20.065761548649743,0.760242387156244,61.0,1.0,land,0.0,0.0,0.0173877818707029,0.0174973055986828,0.03629032258064516,0.0345731977501957,0.1693548387096774,,1.0,0.0,0.0,
