candidate_id,null_count,null_p_gravity_bouguer_ring_score,null_p_gravity_freeair_ring_score,null_p_magnetic_ring_score,null_p_tid_artifact_risk,observed_gravity_bouguer_ring_score,observed_gravity_freeair_ring_score,observed_magnetic_ring_score,observed_tid_artifact_risk
arc_1156,19,0.75,0.65,0.1,1.0,0.28644560798859137,0.31093946133944433,0.4969863839079886,0.0
arc_1157,19,0.05,0.1,0.1,0.1,0.5511352641641944,0.48259886763693066,0.4558357803066331,0.6432311232703289
arc_1158,19,0.1,0.1,0.55,0.95,0.43660774015966153,0.5123001914029526,0.3571548218234299,0.4153402017922637
arc_1159,19,0.85,0.65,0.25,0.75,0.24638093615660006,0.2714640237085178,0.46309879422210726,0.20431845489173506
arc_1160,19,0.4,0.4,0.3,0.05,0.3168214388412368,0.3090370221624895,0.3672967321531617,0.45834211770727945
arc_1161,19,0.45,0.75,0.25,0.45,0.29107776399866314,0.25320971627756717,0.494792713387632,0.19725789511844405
arc_1162,19,0.45,0.95,0.85,0.95,0.34598942389019555,0.25569671009776535,0.26095135889464666,0.15403195683996793
arc_1163,19,0.05,0.65,0.45,0.45,0.4592640523577359,0.35667540438190104,0.36829174142118204,0.20076237771049957
arc_1164,19,0.6,1.0,0.85,0.2,0.3316195959613497,0.20870496234451585,0.26089311028736223,0.31526538324730535
arc_1165,19,0.6,0.45,0.5,0.05,0.253811203598993,0.29212215085566023,0.3334999148960089,0.3318211386220413
arc_1166,19,0.1,0.05,0.35,0.95,0.4706347573440828,0.48306268432041816,0.3861616060246412,0.041514816132389956
arc_1167,19,0.1,0.25,0.55,0.9,0.5467836116652887,0.5008990792084321,0.33457399467032806,0.48419347031604176
arc_1168,19,0.55,0.75,0.95,0.15,0.30987426940612806,0.2592876329221203,0.22643884029611877,0.24938524833478476
arc_1169,19,0.85,0.65,0.25,0.85,0.2434210114755521,0.2469224288893878,0.36392916567461386,0.19861395513139202
arc_1170,19,0.15,0.15,0.1,0.65,0.3349713381747753,0.3456561756001985,0.37553656762579296,0.21186483998252512
arc_1171,19,0.05,0.05,0.05,0.75,0.6292954152551012,0.6874241109339272,0.46170115559127606,0.39778420407537923
arc_1172,19,0.55,0.45,0.25,0.55,0.2949804766546118,0.3483577336398265,0.4353151588132271,0.22575402096226752
arc_1173,19,0.1,0.05,1.0,0.75,0.37089994879524296,0.5459632013050844,0.2140544988069285,0.16545072313739612
arc_1174,19,0.05,0.05,0.35,0.6,0.5342318161727262,0.5566382276328187,0.33652331610293157,0.2271355281102759
arc_1175,19,0.1,0.15,0.55,0.7,0.37678363396732634,0.3895926554256648,0.3507407691161892,0.1565955018061563
arc_1176,19,0.35,0.05,0.25,0.4,0.3327417346973144,0.6581225804318254,0.4672058609065133,0.19959212885161667
arc_1177,19,0.65,0.2,0.15,0.25,0.30607817285777766,0.5305468800540811,0.4504128881752286,0.2675063920761164
arc_1178,19,0.45,0.35,0.75,0.9,0.3049948385410341,0.3336953295423839,0.26181679462927787,0.15792071321610535
arc_1179,19,0.1,0.55,0.85,0.5,0.41572919490155563,0.30751932149562256,0.2783754911944397,0.20061454431982365
arc_1180,19,0.75,0.25,0.7,0.95,0.28139888710392313,0.3706753071477966,0.30463720064502386,0.10368130119489692
arc_1181,19,0.55,0.05,0.75,0.75,0.26268748507914974,0.43888986055348306,0.2911548264849143,0.18178636053881678
arc_1182,19,0.05,0.05,0.25,0.55,0.4326841702603703,0.5857695121544926,0.37930690322259214,0.1910183803262501
arc_1183,19,0.1,0.1,0.35,0.35,0.3438214427109927,0.42159059965561924,0.34931071017972365,0.23822224739177333
arc_1184,19,0.55,0.85,0.55,0.95,0.28846842176059195,0.24496353279925132,0.3658703118231121,0.14460545146137238
arc_1185,19,0.1,0.3,0.85,0.1,0.4273052060533011,0.3638864399671819,0.2754811405071236,0.232607490321029
arc_1186,19,0.55,0.4,0.55,0.75,0.27587336853633726,0.3365130826741276,0.3417103246012358,0.1717633316315378
arc_1187,19,0.2,0.1,0.6,0.3,0.4205860480453689,0.45674673268099264,0.3551991328131886,0.21652902064612325
arc_1188,19,0.1,0.5,0.85,0.25,0.44319875908729006,0.34057456527823504,0.2654219520552467,0.28019567402426127
arc_1189,19,0.2,0.95,0.2,0.15,0.3669878807828745,0.23976152302435122,0.4392468293122393,0.40590743468843093
arc_1190,19,0.2,0.3,0.6,0.45,0.41392201126575523,0.31594158183644755,0.29816195578252014,0.22105455645327501
arc_1191,19,0.1,0.4,0.8,0.15,0.4096683892865581,0.3385515316978316,0.27140730307358096,0.2572850163302145
arc_1192,19,0.05,0.05,0.85,0.5,0.3726553073489695,0.5112439894430217,0.21412361084922055,0.1792770799024136
arc_1193,19,0.15,0.1,0.35,0.35,0.4007319569223827,0.438849372989499,0.3909262035236396,0.25408395598676625
arc_1194,19,0.45,0.25,0.1,0.45,0.2513551997280458,0.3475014833930178,0.677071971530254,0.2127318917321948
arc_1195,19,0.1,0.1,0.55,0.4,0.35591150803709765,0.3634592950542172,0.2967095976693225,0.23060081635362054
arc_1196,19,0.1,0.15,0.7,0.9,0.36363018938583735,0.4534587983504442,0.29402247087361033,0.1541339750901748
arc_1197,19,0.25,0.1,0.4,0.45,0.32469034457471424,0.37638652694805547,0.34277138345878816,0.2082697792300235
arc_1198,19,0.15,0.2,0.05,0.4,0.35444969537587256,0.4030782168232981,0.6302144794590722,0.2099702870246918
arc_1199,19,0.15,0.2,0.45,0.6,0.3876085316879359,0.3482764620131843,0.31210046161634736,0.2054880108954683
arc_1200,19,1.0,1.0,0.5,0.6,0.1812328686948312,0.15230151939521688,0.3192334759929687,0.14803393243151539
