replicate,fault_intersection_fraction,median_log1p_fault_proximity_ratio
720,0.125,1.8710207026597838
721,0.15625,1.5288185292576615
722,0.125,2.139370129050159
723,0.09375,2.0953633805091654
724,0.0625,1.9357770470044708
725,0.1875,1.4310136777143516
726,0.28125,1.7180250743589283
727,0.15625,1.6736916517559957
728,0.125,2.1982985248344153
729,0.1875,1.5691077043482866
730,0.1875,2.0129295420466295
731,0.21875,2.06753262852843
732,0.15625,1.7680878083792737
733,0.125,1.885890734367887
734,0.25,2.053149199143731
735,0.1875,2.15251167700644
736,0.09375,1.6142853193372724
737,0.21875,1.8003923838745242
738,0.15625,2.2345156224117155
739,0.1875,1.5051394017458715
740,0.125,2.0676416996079134
741,0.1875,1.8814854343616283
742,0.15625,2.3708013527760565
743,0.21875,1.7754880482673188
744,0.0625,2.0155894843292197
745,0.25,1.9705801059747192
746,0.15625,2.17015926779702
747,0.1875,2.246109216771996
748,0.125,2.193811243439206
749,0.125,2.2765850060120996
750,0.0625,2.381187979936917
751,0.21875,1.7224205086435345
752,0.25,2.075727543071573
753,0.09375,2.1249748992505237
754,0.1875,1.9633235359660115
755,0.125,2.127357674521204
756,0.1875,2.00261495321775
757,0.1875,1.9221417717987659
758,0.28125,1.2612274553620695
759,0.25,1.6317133595367723
760,0.15625,1.9259033883409558
761,0.15625,2.0845145470620707
762,0.09375,2.058579232690642
763,0.375,1.6619076474977024
764,0.15625,1.8823674044834573
765,0.21875,2.0832735200873924
766,0.125,1.9560631591283846
767,0.25,1.7702179311030264
768,0.09375,2.4580291096325464
769,0.125,2.158514066765491
770,0.125,2.0427670199205505
771,0.15625,1.626094228289137
772,0.1875,1.5562798373354236
773,0.125,2.266000088665268
774,0.1875,1.4640242969368875
775,0.0625,1.9826844402188408
776,0.125,1.8575600185403291
777,0.1875,2.210878648355013
778,0.03125,2.5564910048839886
779,0.125,1.772211311826271
780,0.0625,1.8010718825729777
781,0.15625,2.0965003054609057
782,0.21875,1.9327981275822568
783,0.1875,2.0892226848468223
784,0.21875,1.9961451964889434
785,0.15625,2.069004813680037
786,0.28125,1.9236727127603495
787,0.1875,2.1334829261140897
788,0.09375,2.0845145470620707
789,0.21875,1.8127492057901748
790,0.1875,1.8688180526566547
791,0.15625,1.3260812449657307
792,0.21875,1.5280423220371542
793,0.3125,1.1832128447059145
794,0.1875,1.80634199973727
795,0.125,1.9389026231933448
796,0.1875,2.185583796237924
797,0.15625,1.915789660616723
798,0.25,1.9789793543420044
799,0.15625,1.8838983454450409
800,0.1875,1.948497263689286
801,0.15625,1.6755604715725094
802,0.15625,2.125041908228525
803,0.15625,1.7379455541166275
804,0.1875,1.7980078072124623
805,0.0625,2.4689593112898196
806,0.21875,2.333693329410344
807,0.125,2.384075571899986
808,0.125,2.2135276655848974
809,0.1875,1.8010718825729777
810,0.21875,2.250844533303237
811,0.1875,1.48659096931467
812,0.15625,1.9911661420223106
813,0.125,1.9357770470044708
814,0.25,2.0454187534864707
815,0.125,2.05490011485218
816,0.21875,1.9286181315018527
817,0.21875,2.239665248462823
818,0.28125,1.3834191787909256
819,0.09375,2.4543913947322853
820,0.125,1.8676811007766068
821,0.25,1.4924551672074884
822,0.1875,1.8880090192337198
823,0.15625,2.070024474878594
824,0.125,2.529250559480994
825,0.09375,2.0940002664370416
826,0.15625,1.9763104165875611
827,0.15625,1.9231898042301045
828,0.15625,1.7749171316789067
829,0.21875,1.3869812530297563
830,0.15625,1.7818135578979692
831,0.0625,2.114475152463653
832,0.15625,1.8005163536042295
833,0.0625,2.539961357149237
834,0.15625,2.1224533397667327
835,0.09375,2.0019350604577415
836,0.0625,2.35054916567809
837,0.21875,2.2521075798949703
838,0.25,1.7702179311030264
839,0.15625,2.121294221292857
840,0.21875,2.0143130237470244
841,0.25,2.174886392777469
842,0.125,2.154260076764218
843,0.09375,1.9046122428060177
844,0.125,1.7696470145146141
845,0.375,1.3594124396268765
846,0.3125,1.4914742164496508
847,0.21875,1.842964534754119
848,0.1875,2.13881307359556
849,0.25,1.7689962477601027
850,0.09375,2.00889454683909
851,0.09375,2.3081918552288174
852,0.25,1.8770690221454083
853,0.15625,2.083151432989947
854,0.15625,1.8872643523075925
855,0.28125,1.3433013704839383
856,0.125,1.8124888489910858
857,0.09375,2.4138984294088344
858,0.125,1.8177856512250206
859,0.09375,1.6711630770529269
860,0.15625,2.198144830242075
861,0.1875,1.9412025173334346
862,0.125,2.0011349675164976
863,0.21875,1.8553573685371996
864,0.0625,2.246109216771996
865,0.15625,1.9221417717987659
866,0.1875,1.9027235425330193
867,0.09375,1.886576164016803
868,0.125,1.6945818189884845
869,0.1875,1.7689148433409032
870,0.125,1.905311083047111
871,0.28125,2.016533530766538
872,0.125,2.121290483301111
873,0.15625,2.4332949746417607
874,0.15625,2.2772574595951927
875,0.1875,2.1870145658565496
876,0.25,1.9146555320446361
877,0.0625,1.9615670818675852
878,0.09375,2.3051512720222744
879,0.1875,2.0453301874818433
880,0.09375,2.1338740762542736
881,0.21875,1.7804013471662437
882,0.25,1.7082946581608645
883,0.09375,2.173957873599993
